keyword,product_name,price,price_original,discount_percentage,rating,shop.name,url,document,document_clean
keyboard,Zirayaa Keyboard Kabel USB 101 Keys Office Keyboard With FN Multimedia Keys Macarons for PC/Laptop,107400,Rp350.000,69,4.9,Zirayaa_NEW,https://www.tokopedia.com/zirayaa-822/zirayaa-keyboard-kabel-usb-101-keys-office-keyboard-with-fn-multimedia-keys-macarons-for-pc-laptop-1733350431585633904?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26search_id%3D20260518045926577BCC914F9E552A26QJ%26src%3Dsearch,Zirayaa Keyboard Kabel USB 101 Keys Office Keyboard With FN Multimedia Keys Macarons for PC/Laptop keyboard,zirayaa keyboard kabel usb 101 keys office keyboard with fn multimedia keys macarons for pc laptop keyboard
keyboard,GAMEN GK210 Keyboard Kabel Membrane Feel Mengetik Seperti Keyboard Mechanical Original dengan Efek Lampu RGB & 26 Tombol Anti-Ghosting - Garansi 1 Tahun,183180,Rp350.000,48,4.9,Gamen Indonesia,https://www.tokopedia.com/gamen-indonesia/gamen-gk210-keyboard-kabel-membrane-feel-mengetik-seperti-keyboard-mechanical-original-dengan-efek-lampu-rgb-26-tombol-anti-ghosting-garansi-1-tahun-1732490727240992520?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26search_id%3D2026051804592311B9842E0A271F0F2P5H%26src%3Dsearch,GAMEN GK210 Keyboard Kabel Membrane Feel Mengetik Seperti Keyboard Mechanical Original dengan Efek Lampu RGB & 26 Tombol Anti-Ghosting - Garansi 1 Tahun keyboard,gamen gk210 keyboard kabel membrane feel etik keyboard mechanical original efek lampu rgb 26 tombol anti ghosting garansi 1 tahun keyboard
keyboard,MA Kombo Keyboard Mouse Gaming MENGMA dengan Lampu RGB untuk PC Desktop,67199,Rp139.999,52,4.7,MengmaStore,https://www.tokopedia.com/mengmastore/kombo-keyboard-mouse-gaming-mengma-dengan-lampu-rgb-untuk-pc-desktop-1730929907397789285?extParam=ivf%3Dtrue%26keyword%3Dkeyboard%26qcpx_cache_key%3Dqcpx_cache%7C2026051812592620EF6D282372AF03AADF%7C7634488809943009042%7C959505576646164160%7C1863812554739825%26search_id%3D20260518045926577BCC914F9E552A26QJ%26src%3Dsearch,MA Kombo Keyboard Mouse Gaming MENGMA dengan Lampu RGB untuk PC Desktop keyboard,ma kombo keyboard mouse gaming mengma lampu rgb pc desktop keyboard
keyboard,Keyboard Office Rexus K278 USB Cable Membrane Keyboard Full Size,57900,,0,4.9,CassCom,https://www.tokopedia.com/casscom/keyboard-office-rexus-k278-usb-cable-membrane-keyboard-full-size?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26search_id%3D2026051804592034ED066DF378EF15BRMG%26src%3Dsearch,Keyboard Office Rexus K278 USB Cable Membrane Keyboard Full Size keyboard,keyboard office rexus k278 usb cable membrane keyboard full size keyboard
keyboard,GAMEN GK300 Keyboard Membrane Feel Magnetik,184969,,0,4.8,Seruni Comp Official Store,https://www.tokopedia.com/seruni-comp-official-store/gamen-gk300-keyboard-membrane-feel-magnetik-1731702988921013838?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26search_id%3D2026051804592034ED066DF378EF15BRMG%26src%3Dsearch,GAMEN GK300 Keyboard Membrane Feel Magnetik keyboard,gamen gk300 keyboard membrane feel magnetik keyboard
keyboard,M-Tech Original Keyboard Komputer PC Laptop Multimedia for MT08 Bisa Smartphone - Garansi 1 Tahun Ganti Baru,38605,Rp60.000,36,4.8,M-Tech Official Store,https://www.tokopedia.com/m-tech-official-store/m-tech-original-keyboard-komputer-pc-laptop-multimedia-for-mt08?extParam=ivf%3Dtrue%26keyword%3Dkeyboard%26qcpx_cache_key%3Dqcpx_cache%7C2026051812592620EF6D282372AF03AADF%7C7628223110915049223%7C959505576646164160%7C1861329564941522%26search_id%3D20260518045926577BCC914F9E552A26QJ%26src%3Dsearch,M-Tech Original Keyboard Komputer PC Laptop Multimedia for MT08 Bisa Smartphone - Garansi 1 Tahun Ganti Baru keyboard,m tech original keyboard komputer pc laptop multimedia for mt08 smartphone garansi 1 tahun ganti baru keyboard
keyboard,Kybord Gaming untuk Komputer - Keyboard Spesifik untuk Pengalaman Bermain Anda dalam Konteks Gaming Komputer,50000,,0,,Ipangb16group,https://www.tokopedia.com/ipangb16group/kybord-gaming-untuk-komputer-keyboard-spesifik-untuk-pengalaman-bermain-anda-dalam-konteks-gaming-komputer-1731577565667099785?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26search_id%3D2026051804592034ED066DF378EF15BRMG%26src%3Dsearch,Kybord Gaming untuk Komputer - Keyboard Spesifik untuk Pengalaman Bermain Anda dalam Konteks Gaming Komputer keyboard,kybord gaming komputer keyboard spesifik alam main dalam konteks gaming komputer keyboard
keyboard,Keyboard M-TECH Pc Computer USB Standar Murah Black,41000,,0,4.7,Mega Perkasa Computer & King,https://www.tokopedia.com/megaperkasacom/keyboard-m-tech-pc-computer-usb-standar-murah-black-1730804042583017187?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26search_id%3D2026051804592134ED066DF378EF3DFRGZ%26src%3Dsearch,Keyboard M-TECH Pc Computer USB Standar Murah Black keyboard,keyboard m tech pc computer usb standar murah black keyboard
keyboard,Paket Keyboard + Mouse Usb M-tech STK 01,58200,Rp60.000,3,4.9,Universal disc,https://www.tokopedia.com/udisc/paket-keyboard-mouse-usb-m-tech-stk-01?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26search_id%3D2026051804592034ED066DF378EF15BRMG%26src%3Dsearch,Paket Keyboard + Mouse Usb M-tech STK 01 keyboard,paket keyboard mouse usb m tech stk 01 keyboard
keyboard,KEYBOARD LOGITECH K120 USB second ori,29000,,0,4.9,Yadie @store,https://www.tokopedia.com/yadie-store/keyboard-logitech-k120-usb-second-ori-1734458467054159800?extParam=ivf%3Dfalse%26keyword%3Dkeyboard%26search_id%3D2026051804592311B9842E0A271F0F2P5H%26src%3Dsearch,KEYBOARD LOGITECH K120 USB second ori keyboard,keyboard logitech k120 usb second ori keyboard
