keyword,product_name,price,price_original,discount_percentage,rating,shop.name,url
laptop,"Laptop ZYREX Sky 232 Mini 64 II Intel Celeron N4020 RAM 4GB 64GB eMMC + SSD M.2 (128/256) 11.6"" FHD IPS - Windows 11 USB Type-C/HDMI/MicroSD – Garansi Resmi 1 Tahun",2699000,Rp2.799.000,4,5.0,Zyrex Indonesia Store,https://www.tokopedia.com/zyrex-indonesia-store/laptop-zyrex-sky-232-mini-64-ii-intel-celeron-n4020-ram-4gb-64gb-emmc-ssd-m-2-128-256-11-6-fhd-ips-windows-11-usb-type-c-hdmi-microsd-garansi-resmi-1-tahun-1734417515193140407-1735264596712785079?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D20260518045735FE73F687E5BC523420G3%26src%3Dsearch
laptop,ULTRABOOK DELL LATITUDE 7400 i7-8665 TOUCH / 32GB RAM / SSD 1TB/ IPS,3550000,,0,,Ari Speed Comp,https://www.tokopedia.com/arispeedcomp/ultrabook-dell-latitude-7400-i7-8665-touch-32gb-ram-ssd-1tb-ips-1735578278595953824-1735578502355977376?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D2026051804573034ED066DF378EF38E4S7%26src%3Dsearch
laptop,Laptop HP EliteBook 840 G8 Intel I5/I7 GEN 11 RAM 16GB SSD 1TB 14” Windows Ori,5415000,Rp5.700.000,5,5.0,Laptop Kitaaa,https://www.tokopedia.com/laptop-kitaaa/laptop-hp-elitebook-845-g7-g8-amd-r5-4650u-r5-5650u-ram-16gb-ssd-1tb-14-windows-ori-1732148912324249066-1735607345972741610?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D2026051804573034ED066DF378EF38E4S7%26src%3Dsearch
laptop,TERMURAH - Laptop ACER Aspire Core i3 Ram 8GB/1TB Windows 10 14 inch,2504500,Rp2.550.000,2,4.5,Sparta Electronic,https://www.tokopedia.com/spartaelectronic/termurah-laptop-acer-aspire-core-i3-ram-8gb-1tb-windows-10-14-inch-4gb-500gb-4775f?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D2026051804573034ED066DF378EF38E4S7%26src%3Dsearch
laptop,"Macbook Air 13"" 2020 Retina Quad Core i7 i5 i3 16/512GB - 8/512 SSD - 8/128 100% Original - i3 8/128 SSD",3150000,,0,5.0,Vegas Computer,https://www.tokopedia.com/vegas-computer/macbook-air-13-2020-retina-quad-core-i7-i5-i3-16-512gb-8-512-ssd-8-128-100-original-i3-8-128-ssd-1733387358427710973-1735106387337774589?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D2026051804573034ED066DF378EF38E4S7%26src%3Dsearch
laptop,"MacBook Air 2020 13"" Intel Quad Core i7 16/512GB",5399800,Rp7.000.000,23,5.0,Champion-Com,https://www.tokopedia.com/champion-/macbook-air-2020-13-intel-quad-core-i7-16-512gb-1732280164150904417?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D2026051804573034ED066DF378EF38E4S7%26src%3Dsearch
laptop,Lenovo ThinkPad T480s Core i7-8650U 24GB RAM 512GB NVMe SSD TC FULL HD//WINDOWS 11,2650000,,0,4.8,RedStar Electronic,https://www.tokopedia.com/redstarelectronic/lenovo-thinkpad-t480s-core-i7-8650u-24gb-ram-512gb-nvme-ssd-tc-full-hd-windows-11-1729822537494135859?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D2026051804573034ED066DF378EF38E4S7%26src%3Dsearch
laptop,Lenovo Ideapad Slim 3i i3-1315U 256GB SSD 8GB FHD Win11+OHS,7884050,Rp9.399.000,16,5.0,lenovo authorized tangerang,https://www.tokopedia.com/lenovo-tangerang/lenovo-ideapad-slim-3i-i3-1315u-256gb-ssd-8gb-fhd-win11-ohs-1732262383824504830?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457344734BA6F3DE83D09B0PQ%26src%3Dsearch
laptop,ThinkPad T490 T490s Core i7 16GB 512GB  / Thinkpad T490s T490 / T490 T490s,3895000,Rp4.100.000,5,4.9,Gugel Laptop,https://www.tokopedia.com/gugellaptop/thinkpad-t490-t490s-core-i7-16gb-512gb-thinkpad-t490s-t490-t490-t490s-1731506706617304354?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,Laptop Asus Vivobook 14 Core i3 Gen 13 1315u FullHD Win 11 Garansi 1th,6365000,Rp9.800.000,35,5.0,Notebook Labb,https://www.tokopedia.com/notebooklab/laptop-asus-vivobook-14-intel-core-i3-gen-13-ram-up-to-24gb-ssd-nvme-up-to-1tb-fullhd-windows-11-original-1730096242573477175-1735233700881073463?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,"ASPIRE LITE AL14-32P-37CE CORE 3 N355 8GB DDR5 512GB SSD UMA 14"" IPS WUXGA W11H OH2024 FRESH BLUE BP",7885000,Rp8.300.000,5,,INFONET Mall Harco Mangga Dua,https://www.tokopedia.com/infonet-mall-harco-mangga-dua/aspire-lite-al14-32p-37ce-core-3-n355-8gb-ddr5-512gb-ssd-uma-14-ips-wuxga-w11h-oh2024-fresh-blue-bp-1733932288391873743?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,Laptop Lenovo Thinkpad T490 T490s Core i5 i7 8th 16GB 512GB,2400000,,0,4.9,MR elektronik,https://www.tokopedia.com/alvinluo-shop/laptop-lenovo-thinkpad-t490-t490s-core-i5-i7-8th-16gb-512gb-1733504972756715305?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D2026051804573034ED066DF378EF38E4S7%26src%3Dsearch
laptop,Lenovo Ideapad Slim 3i i3-1315U 256GB SSD 8GB Win11+OHS,7884050,Rp11.999.000,34,5.0,Lenovo Indonesia Official,https://www.tokopedia.com/lenovo-indonesia-official/lenovo-ideapad-slim-3i-i3-1315u-256gb-ssd-8gb-win11-ohs-1732262723877897738?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D2026051804573034ED066DF378EF38E4S7%26src%3Dsearch
laptop,PROMO !! LAPTOP ASUS X441 RAM (8GB/1TB - 8GB/512GB SSD) FREE MOUSE/TAS,1700000,,0,4.6,RedStar Electronic,https://www.tokopedia.com/redstarelectronic/promo-laptop-asus-x441-ram-8gb-1tb-8gb-512gb-ssd-free-mouse-tas-gold-4gb-500gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457344734BA6F3DE83D09B0PQ%26src%3Dsearch
laptop,LAPTOP HP INTEL CELERON RAM 8GB HDD 1000GB | WIN 10,1850000,,0,4.6,MR elektronik,https://www.tokopedia.com/alvinluo-shop/laptop-hp-intel-celeron-ram-8gb-hdd-1000gb-win-10-4gb-500gb?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D2026051804573034ED066DF378EF38E4S7%26src%3Dsearch
laptop,Asus Vivobook Flip 14 INI Intel Core I5-4200U 14 Inci Layar Sentuh Anti Spy detil clarify PROPERTY oldValue Notebook Laptop,420000,,0,,toserbamemey,https://www.tokopedia.com/toserbamemey/asus-vivobook-flip-14-ini-intel-core-i5-4200u-14-inci-layar-sentuh-anti-spy-detil-clarify-property-oldvalue-notebook-laptop-1734495018816734702?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,laptop hp core i5 gen 4 RAM 8 GB SSD ngebut fullsett siap pake,1450000,,0,4.6,kheycellcom shop,https://www.tokopedia.com/kheycellco-167/laptop-hp-core-i5-gen-4-ram-8-gb-ssd-ngebut-fullsett-siap-pake?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D2026051804573034ED066DF378EF38E4S7%26src%3Dsearch
laptop,Laptop Gaming Asus X505z Ryzen 5 8/128 Mulus murah,2821500,Rp2.970.000,5,,thinkpadpd,https://www.tokopedia.com/thinkpadpd/laptop-gaming-asus-x505z-ryzen-5-8-128-mulus-murah-1732237995338073517?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,Laptop lenovo thinkpad e431 i5 gen 2 ssd 128gb ram 4g,1282500,Rp1.350.000,5,,Innovate e-store,https://www.tokopedia.com/innovatestore/laptop-lenovo-thinkpad-e431-i5-gen-2-ssd-128gb-ram-4g?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,"Macbook Air 2015 Core i5 8GB 128GB 13Inch & 11Inch Original - 13Inch, Air 2015 i5 4/128",2200000,,0,5.0,Vegas Computer,https://www.tokopedia.com/vegas-computer/macbook-air-2015-core-i5-8gb-128gb-13inch-11inch-original-13inch-air-2015-i5-4-128-1734215842361738749-1735030090846930429?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457344734BA6F3DE83D09B0PQ%26src%3Dsearch
laptop,"ADVAN Workmate AMD Ryzen 5 3500U 8GB/256GB 14"" Inch FHD+ 16:10 IPS WiFi 5 Upgradable Free WIndows 11 Garansi Resmi 1 Tahun",6079050,Rp7.999.000,24,4.9,ADVAN INDONESIA,https://www.tokopedia.com/advanstore/advan-workmate-amd-ryzen-5-3500u-8gb-256gb-14-inch-fhd-16-10-ips-wifi-5-upgradable-free-windows-11-garansi-resmi-1-tahun-1732195776192677735?extParam=ivf%3Dtrue%26keyword%3Dlaptop%26search_id%3D20260518045735FE73F687E5BC523420G3%26src%3Dsearch%26whid%3D21392088
laptop,Laptop Dell Latitude 7300 Core i7 Gen 8 RAM 16GB SSD 512GB FREE TAS,4100000,,0,4.7,STAR JAYA ELECTRONIC,https://www.tokopedia.com/starjayaelectronic/laptop-dell-latitude-7300-core-i7-gen-8-ram-16gb-ssd-512gb-free-tas-1733195085765838763?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,Laptop HP Elitebook 840 G6 Core i7-8665u Ram 32GB SSD 512GB Bergaransi,2470000,Rp2.600.000,5,4.9,Hosea Timoho29,https://www.tokopedia.com/timoho29/laptop-hp-elitebook-840-g6-core-i7-8665u-ram-32gb-ssd-512gb-bergaransi-840-g1-core-i5-8gb-ssd-128gb-30207?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,Axioo Laptop Hype 7 AMD X7-2 Ryzen 7-5825U/16GB/512GB/FHD IPS - Windows 11,9099000,Rp12.369.000,26,5.0,Axioo Indonesia,https://www.tokopedia.com/axioo-indonesia/axioo-laptop-hype-7-amd-x7-2-ryzen-7-5825u-16gb-512gb-fhd-ips-windows-11-1730815058867553365?extParam=ivf%3Dtrue%26keyword%3Dlaptop%26search_id%3D20260518045735FE73F687E5BC523420G3%26src%3Dsearch
laptop,Laptop Advan Soulmate X 14” IPS FHD AMD 3020e 8GB/128GB Free Windows 11 Original Notebook Upgradeable,3662250,Rp9.199.000,60,4.9,TeknoTrend ID,https://www.tokopedia.com/teknotrend/advan-soulmate-x-14-ips-fhd-amd-3020e-8gb-128gb-free-windows-11-original-notebook-upgradeable-1731262233753913282-1735137477776345026?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D20260518045735FE73F687E5BC523420G3%26src%3Dsearch
laptop,Promo Laptop Lenovo L13 Yoga 2 IN 1 Touschreen Core I5 Gen 11 Ram 16 Gb Ssd 256 With Stylus Pen I Bonus Melimpah,4123000,Rp7.233.333,43,5.0,WD.COMPUTER,https://www.tokopedia.com/wdcomputer/promo-laptop-lenovo-l13-yoga-2-in-1-touschreen-core-i5-gen-11-ram-16-gb-ssd-256-with-stylus-pen-i-bonus-melimpah-1735247991400400066?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,Dell Inspiron 5482 2in1 i7 8565U Nvidia RAM 16GB SSD 512GB mulus touchscreen dual vga,5130000,Rp5.400.000,5,,hartechshop,https://www.tokopedia.com/hartechshop/dell-inspiron-5482-2in1-i7-8565u-nvidia-ram-16gb-ssd-512gb-mulus-touchscreen-dual-vga-1734119117098157595?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,Laptop Murah Bekas Berkualitas Core i5 / i7 Bergaransi Grade B,800000,,0,4.9,ASIATech.,https://www.tokopedia.com/asiatechbdg/laptop-murah-bekas-berkualitas-core-i5-i7-bergaransi-grade-b-1731572938775103037-1731572975116846653?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,"Laptop lenovo ideapad 1 Celeron N4500 8GB 256GB SSD 15.6"" – free Instal laptop siap pakai",3761572,Rp3.959.550,5,,Litech official,https://www.tokopedia.com/zona-gadget/laptop-lenovo-ideapad-1-celeron-n4500-8gb-256gb-ssd-15-6-free-instal-laptop-siap-pakai-1732122262134097767?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,Lenovo ThinkPad T490 / T480 / T470 / T460 Core i5 i7 GEN 8 RAM 16GB SSD 1TB Touchscreen Laptop Full HD 14inch,3657500,Rp3.850.000,5,5.0,MrHanzo,https://www.tokopedia.com/mrhanzo/lenovo-thinkpad-t490-t480-t470-t460-core-i5-i7-gen-8-ram-16gb-ssd-1tb-touchscreen-laptop-full-hd-14inch-1734115966320805043?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,"ASUS VIVOBOOK X1404VA-I38128 INTEL i3-1315U 16GB RAM 1TB SSD 14"" FHD WINDOWS 11 ASUS NUMPAD GARANSI 1 TAHUN SPAREPART",6794801,Rp7.152.422,5,4.9,Kotakom Offical Store,https://www.tokopedia.com/kotakom-offical-store/asus-vivobook-x1404va-i38128-intel-i3-1315u-16gb-ram-1tb-ssd-14-fhd-windows-11-asus-numpad-garansi-1-tahun-sparepart-1730791405806650590-1734897687870866654?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,LAPTOP ASUS X441 RAM 4G HARDISK 500GB 14INCH WIN 10/ Free Tas! - 2gb/500gb FREE MOUSE,1329050,Rp1.399.000,5,4.9,VIN JAYA ELECTRONIC,https://www.tokopedia.com/vinjaya-1/laptop-asus-x441-ram-4g-hardisk-500gb-14inch-win-10-free-tas-2gb-500gb-free-mouse-x441-celeron-2-500gb-hdd-4b343?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,"TERLARIS !! LAPTOP ASUS X453 // 14'' // RAM 8GB - HDD 1000GB // WIN 10 - Putih, 2GB/500GB FREE TAS//MOUSE",1377500,Rp1.450.000,5,4.7,VIN JAYA ELECTRONIC,https://www.tokopedia.com/vinjaya-1/terlaris-laptop-asus-x453-14-ram-8gb-hdd-1000gb-win-10-putih-2gb-500gb-free-tas-mouse-2-500gb-94fb9?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,Lenovo IdeaPad Slim 3 14IRU8 Intel Core i3-1315U 8GB 512GB SSD W11 OH24,8169050,Rp11.099.000,26,5.0,Lenovo Official,https://www.tokopedia.com/lenovo-official/lenovo-ideapad-slim-3-14iru8-intel-core-i3-1315u-8gb-512gb-ssd-w11-oh24-1731404199587316896?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457344734BA6F3DE83D09B0PQ%26src%3Dsearch
laptop,ULTRABOOK DELL LATITUDE 7400 i7-8665 TOUCH / 32GB RAM / SSD 1TB/ IPS,3550000,,0,4.9,Ari Speed Comp,https://www.tokopedia.com/arispeedcomp/ultrabook-dell-latitude-7400-i7-8665-touch-32gb-ram-ssd-512gb-ips-1735575014475990176?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457344734BA6F3DE83D09B0PQ%26src%3Dsearch
laptop,Asus Vivobook 14 Core i5 Gen 13 1334u | Core 5 120u Gen 14 Win 11 Garansi 1th,8265000,Rp12.000.000,31,5.0,Notebook Labb,https://www.tokopedia.com/notebooklab/asus-laptop-vivobook-14-intel-core-i5-gen-13-1334u-ram-24gb-ddr4-ssd-nvme-1tb-fullhd-windows-11-home-original-biru-tenang-garansi-distributor-1-tahun-1730992836748543287-1735234069892728119?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457344734BA6F3DE83D09B0PQ%26src%3Dsearch
laptop,Lenovo Ideapad Slim 3 14 Core i3 1315U 8GB 512SSD Windows 11 14 Inch,7854600,Rp8.269.000,5,5.0,Laptop Grosir ID,https://www.tokopedia.com/laptopgrosirid/lenovo-ideapad-slim-3-14-core-i3-1315u-8gb-512ssd-windows-11-14-inch-1731063853510657353?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457344734BA6F3DE83D09B0PQ%26src%3Dsearch
laptop,Laptop HP AMD Ryzen 5 Radeon 8GB RAM 512GB SSD Silver / Gold Windows 11 Home 14 Inch Garansi 2 Tahun Official,9689525,Rp11.000.000,12,5.0,HP Indonesia,https://www.tokopedia.com/hp/laptop-hp-amd-ryzen-5-radeon-8gb-ram-512gb-ssd-silver-gold-windows-11-home-14-inch-garansi-2-tahun-official-1732560920660182915?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457344734BA6F3DE83D09B0PQ%26src%3Dsearch
laptop,Lenovo V14 G4 AMN AMD Ryzen 3 7320U 8GB 512GB SSD W11 OH24,8358955,Rp8.798.900,5,5.0,Lenovo Official,https://www.tokopedia.com/lenovo-official/lenovo-v14-g4-amn-ryzen-3-7320u-8gb-512gb-w11-ohs?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457344734BA6F3DE83D09B0PQ%26src%3Dsearch
laptop,LAPTOP HP 14 I3 1315 8GB 512GB W11+OHS 14.0FHD BLIT COPILOT,7152550,Rp12.299.000,42,4.9,AGRES ID,https://www.tokopedia.com/agresid/laptop-hp-14-i3-1315-8gb-512gb-w11-ohs-14-0fhd-blit-copilot-1733336336487384131?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457344734BA6F3DE83D09B0PQ%26src%3Dsearch
laptop,ASUS VIVOBOOK A516JAO-HD3121 i3-1005G1 8GB 512GB SSD 15.6 FHD OHS 2019,5510000,Rp5.800.000,5,4.9,ALPHA DATA NETWORK INDONESIA,https://www.tokopedia.com/alphadatanetworkindo/asus-vivobook-a516jao-hd3121-i3-1005g1-8gb-512gb-ssd-15-6-fhd-ohs-2019-4gb-256gb-ssd-silver-0afea?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457344734BA6F3DE83D09B0PQ%26src%3Dsearch
laptop,"LAPTOP AXIOO HYPE 1  | N4020 4GB / 8GB 128GB 14"" HD Windows 11",3770550,Rp5.099.000,26,5.0,Axioo Official Store ID,https://www.tokopedia.com/axiooslimbook/laptop-axioo-hype-1-n4020-4gb-8gb-128gb-14-hd-windows-11-1734319035774829935?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457344734BA6F3DE83D09B0PQ%26src%3Dsearch
